,cause,avoidable,men,women,people,Males,Females,Persons,Males.1,Females.1,Persons.1,header
391,"Other disorders involving the immune mechanism, not elsewhere classified (D89)",,8,7,15,,,,131.0,,148.0,False
394,Congenital iodine-deficiency syndrome (E00),,0,0,0,,,,,,,False
395,Iodine-deficiency-related thyroid disorders and allied conditions (E01),,0,0,0,,,,,,,False
396,Subclinical iodine-deficiency hypothyroidism (E02),,0,0,0,,,,,,,False
397,Other hypothyroidism (E03),,15,53,68,,0.3,0.2,,44.0,54.0,False
398,Other nontoxic goitre (E04),,1,6,7,,,,,,,False
399,Thyrotoxicosis [hyperthyroidism] (E05),,14,15,29,,,0.1,,90.0,98.0,False
400,Thyroiditis (E06),,0,1,1,,,,,,,False
401,Other disorders of thyroid (E07),,1,4,5,,,,,,,False
403,Insulin-dependent diabetes mellitus (E10),x,167,155,322,1.3,1.0,1.1,2224.0,1696.0,3911.0,False
404,Non-insulin-dependent diabetes mellitus (E11),x,1278,1063,2341,9.2,5.9,7.4,5660.0,3154.0,8767.0,False
405,Malnutrition-related diabetes mellitus (E12),x,0,0,0,,,,,,,False
406,Other specified diabetes mellitus (E13),x,0,1,1,,,,,,,False
407,Unspecified diabetes mellitus (E14),x,1101,891,1992,7.9,5.0,6.3,6039.0,2931.0,8911.0,False
409,Nondiabetic hypoglycaemic coma (E15),,0,0,0,,,,,,,False
410,Other disorders of pancreatic internal secretion (E16),,3,10,13,,,,,18.0,18.0,False
412,Hypoparathyroidism (E20),,1,0,1,,,,,,,False
413,Hyperparathyroidism and other disorders of parathyroid gland (E21),,4,9,13,,,,,,,False
414,Hyperfunction of pituitary gland (E22),,2,3,5,,,,,,,False
415,Hypofunction and other disorders of pituitary gland (E23),,7,4,11,,,,43.0,,76.0,False
416,Cushing syndrome (E24),,1,1,2,,,,,,,False
417,Adrenogenital disorders (E25),,1,0,1,,,,,,,False
418,Hyperaldosteronism (E26),,3,1,4,,,,,,,False
419,Other disorders of adrenal gland (E27),,5,8,13,,,,,79.0,95.0,False
420,Ovarian dysfunction (E28),,0,0,0,,,,,,,False
421,Testicular dysfunction (E29),,0,0,0,,,,,,,False
422,"Disorders of puberty, not elsewhere classified (E30)",,0,0,0,,,,,,,False
423,Polyglandular dysfunction (E31),,1,0,1,,,,,,,False
424,Diseases of thymus (E32),,0,0,0,,,,,,,False
425,Other endocrine disorders (E34),,3,1,4,,,,,,,False
427,Kwashiorkor (E40),,0,0,0,,,,,,,False
428,Nutritional marasmus (E41),,1,3,4,,,,,,,False
429,Marasmic kwashiorkor (E42),,0,0,0,,,,,,,False
430,Unspecified severe protein-energy malnutrition (E43),,8,4,12,,,,,,,False
431,Protein-energy malnutrition of moderate and mild degree (E44),,0,0,0,,,,,,,False
432,Retarded development following protein-energy malnutrition (E45),,0,0,0,,,,,,,False
433,Unspecified protein-energy malnutrition (E46),,32,53,85,0.2,0.3,0.3,136.0,209.0,347.0,False
435,Vitamin A deficiency (E50),,0,0,0,,,,,,,False
436,Thiamine deficiency (E51),,3,0,3,,,,,,,False
437,Niacin deficiency [pellagra] (E52),,0,0,0,,,,,,,False
438,Deficiency of other B group vitamins (E53),,1,2,3,,,,,,,False
439,Ascorbic acid deficiency (E54),,0,0,0,,,,,,,False
440,Vitamin D deficiency (E55),,0,0,0,,,,,,,False
441,Other vitamin deficiencies (E56),,0,0,0,,,,,,,False
442,Dietary calcium deficiency (E58),,0,0,0,,,,,,,False
443,Dietary selenium deficiency (E59),,0,0,0,,,,,,,False
444,Dietary zinc deficiency (E60),,0,0,0,,,,,,,False
445,Deficiency of other nutrient elements (E61),,1,1,2,,,,,,,False
446,Other nutritional deficiencies (E63),,3,1,4,,,,,,,False
447,Sequelae of malnutrition and other nutritional deficiencies (E64),,0,0,0,,,,,,,False
449,Localized adiposity (E65),,0,0,0,,,,,,,False
450,Obesity (E66),,173,129,302,1.3,0.9,1.1,3807.0,1964.0,5748.0,False
451,Other hyperalimentation (E67),,0,0,0,,,,,,,False
452,Sequelae of hyperalimentation (E68),,0,0,0,,,,,,,False
454,Disorders of aromatic amino-acid metabolism (E70),,0,0,0,,,,,,,False
455,Disorders of branched-chain amino-acid metabolism and fatty-acid metabolism (E71),,2,0,2,,,,,,,False
456,Other disorders of amino-acid metabolism (E72),,6,2,8,,,,,,,False
457,Lactose intolerance (E73),,0,0,0,,,,,,,False
458,Other disorders of carbohydrate metabolism (E74),,2,1,3,,,,,,,False
459,Disorders of sphingolipid metabolism and other lipid storage disorders (E75),,13,3,16,,,,786.0,,997.0,False
460,Disorders of glycosaminoglycan metabolism (E76),,2,0,2,,,,,,,False
461,Disorders of glycoprotein metabolism (E77),,1,2,3,,,,,,,False
462,Disorders of lipoprotein metabolism and other lipidaemias (E78),,283,296,579,2.0,1.5,1.8,1033.0,388.0,1407.0,False
463,Disorders of purine and pyrimidine metabolism (E79),,1,0,1,,,,,,,False
464,Disorders of porphyrin and bilirubin metabolism (E80),,0,0,0,,,,,,,False
465,Disorders of mineral metabolism (E83),,28,24,52,0.2,0.1,0.2,247.0,172.0,417.0,False
466,Cystic fibrosis (E84),,24,16,40,0.2,,0.2,971.0,672.0,1642.0,False
467,Amyloidosis (E85),,122,90,212,0.9,0.5,0.7,472.0,266.0,735.0,False
468,Volume depletion (E86),,43,80,123,0.3,0.4,0.4,27.0,37.0,64.0,False
469,"Other disorders of fluid, electrolyte and acid-base balance (E87)",,96,116,212,0.7,0.6,0.7,375.0,376.0,751.0,False
470,Other metabolic disorders (E88),,29,43,72,0.2,0.2,0.2,372.0,250.0,623.0,False
471,"Postprocedural endocrine and metabolic disorders, not elsewhere classified (E89)",,0,0,0,,,,,,,False
474,Vascular dementia (F01),,637,735,1372,4.7,3.6,4.1,438.0,172.0,603.0,False
475,Unspecified dementia (F03),,2847,5435,8282,20.8,26.4,24.3,1801.0,1623.0,3421.0,False
476,"Organic amnesic syndrome, not induced by alcohol and other psychoactive substances (F04)",,0,0,0,,,,,,,False
477,"Delirium, not induced by alcohol and other psychoactive substances (F05)",,17,26,43,,0.1,0.1,,,,False
478,Other mental disorders due to brain damage and dysfunction and to physical disease (F06),,2,1,3,,,,,,,False
479,"Personality and behavioural disorders due to brain disease, damage and dysfunction (F07)",,0,0,0,,,,,,,False
480,Unspecified organic or symptomatic mental disorder (F09),,0,0,0,,,,,,,False
482,Mental and behavioural disorders due to use of alcohol (F10),,186,52,238,1.4,0.4,0.8,2732.0,907.0,3603.0,False
483,Mental and behavioural disorders due to use of opioids (F11),,3,3,6,,,,,,150.0,False
484,Mental and behavioural disorders due to use of cannabinoids (F12),,0,0,0,,,,,,,False
485,Mental and behavioural disorders due to use of sedatives or hypnotics (F13),,0,0,0,,,,,,,False
486,Mental and behavioural disorders due to use of cocaine (F14),,0,1,1,,,,,,,False
487,"Mental and behavioural disorders due to use of other stimulants, including caffeine (F15)",,2,1,3,,,,,,,False
488,Mental and behavioural disorders due to use of hallucinogens (F16),,0,0,0,,,,,,,False
489,Mental and behavioural disorders due to use of tobacco (F17),,3,0,3,,,,,,,False
490,Mental and behavioural disorders due to use of volatile solvents (F18),,0,0,0,,,,,,,False
491,Mental and behavioural disorders due to multiple drug use and use of other psychoactive substances (F19),,9,4,13,,,,313.0,,473.0,False
493,Schizophrenia (F20),,26,31,57,0.2,0.2,0.2,478.0,95.0,569.0,False
494,Schizotypal disorder (F21),,0,0,0,,,,,,,False
495,Persistent delusional disorders (F22),,0,0,0,,,,,,,False
496,Acute and transient psychotic disorders (F23),,0,0,0,,,,,,,False
497,Induced delusional disorder (F24),,0,0,0,,,,,,,False
498,Schizoaffective disorders (F25),,1,4,5,,,,,,,False
499,Other nonorganic psychotic disorders (F28),,0,0,0,,,,,,,False
500,Unspecified nonorganic psychosis (F29),,0,0,0,,,,,,,False
502,Manic episode (F30),,0,0,0,,,,,,,False
503,Bipolar affective disorder (F31),,4,9,13,,,,,,,False
504,Depressive episode (F32),,12,58,70,,0.3,0.2,,90.0,108.0,False
505,Recurrent depressive disorder (F33),,0,0,0,,,,,,,False
506,Persistent mood [affective] disorders (F34),,1,0,1,,,,,,,False
507,Other mood [affective] disorders (F38),,0,0,0,,,,,,,False
508,Unspecified mood [affective] disorder (F39),,0,1,1,,,,,,,False
510,Phobic anxiety disorders (F40),,0,0,0,,,,,,,False
511,Other anxiety disorders (F41),,0,9,9,,,,,,,False
512,Obsessive-compulsive disorder (F42),,0,0,0,,,,,,,False
513,"Reaction to severe stress, and adjustment disorders (F43)",,2,2,4,,,,,,,False
514,Dissociative [conversion] disorders (F44),,0,0,0,,,,,,,False
515,Somatoform disorders (F45),,0,0,0,,,,,,,False
516,Other neurotic disorders (F48),,0,0,0,,,,,,,False
518,Eating disorders (F50),,0,7,7,,,,,122.0,124.0,False
519,Nonorganic sleep disorders (F51),,0,0,0,,,,,,,False
520,"Sexual dysfunction, not caused by organic disorder or disease (F52)",,0,0,0,,,,,,,False
521,"Mental and behavioural disorders associated with the puerperium, not elsewhere classified (F53)",,0,0,0,,,,,,,False
522,Psychological and behavioural factors associated with disorders or diseases classified elsewhere (F54),,0,0,0,,,,,,,False
523,Abuse of non-dependence-producing substances (F55),,1,0,1,,,,,,,False
524,Unspecified behavioural syndromes associated with physiological disturbances and physical factors (F59),,0,0,0,,,,,,,False
526,Specific personality disorders (F60),,0,1,1,,,,,,,False
527,Mixed and other personality disorders (F61),,0,0,0,,,,,,,False
528,"Enduring personality changes, not attributable to brain damage and disease (F62)",,0,0,0,,,,,,,False
529,Habit and impulse disorders (F63),,0,0,0,,,,,,,False
530,Gender identity disorders (F64),,0,0,0,,,,,,,False
531,Disorders of sexual preference (F65),,0,0,0,,,,,,,False
532,Psychological and behavioural disorders associated with sexual development and orientation (F66),,0,0,0,,,,,,,False
533,Other disorders of adult personality and behaviour (F68),,0,0,0,,,,,,,False
534,Unspecified disorder of adult personality and behaviour (F69),,0,0,0,,,,,,,False
536,Mild mental retardation (F70),,0,0,0,,,,,,,False
537,Moderate mental retardation (F71),,0,0,0,,,,,,,False
538,Severe mental retardation (F72),,0,0,0,,,,,,,False
539,Profound mental retardation (F73),,0,0,0,,,,,,,False
540,Other mental retardation (F78),,0,0,0,,,,,,,False
541,Unspecified mental retardation (F79),,7,7,14,,,,109.0,,165.0,False
543,Specific developmental disorders of speech and language (F80),,0,0,0,,,,,,,False
544,Specific developmental disorders of scholastic skills (F81),,0,0,0,,,,,,,False
545,Specific developmental disorder of motor function (F82),,0,0,0,,,,,,,False
546,Mixed specific developmental disorders (F83),,0,0,0,,,,,,,False
547,Pervasive developmental disorders (F84),,1,6,7,,,,,256.0,331.0,False
548,Other disorders of psychological development (F88),,0,0,0,,,,,,,False
549,Unspecified disorder of psychological development (F89),,0,0,0,,,,,,,False
551,Hyperkinetic disorders (F90),,0,0,0,,,,,,,False
552,Conduct disorders (F91),,0,0,0,,,,,,,False
553,Mixed disorders of conduct and emotions (F92),,0,0,0,,,,,,,False
554,Emotional disorders with onset specific to childhood (F93),,0,0,0,,,,,,,False
555,Disorders of social functioning with onset specific to childhood and adolescence (F94),,0,0,0,,,,,,,False
556,Tic disorders (F95),,0,0,0,,,,,,,False
557,Other behavioural and emotional disorders with onset usually occurring in childhood and adolescence (F98),,0,0,0,,,,,,,False
559,"Mental disorder, not otherwise specified (F99)",,0,0,0,,,,,,,False
562,"Bacterial meningitis, not elsewhere classified (G00)",x,6,8,14,,,,,162.0,165.0,False
563,Meningitis due to other and unspecified causes (G03),x,7,2,9,,,,198.0,,210.0,False
564,"Encephalitis, myelitis and encephalomyelitis (G04)",,21,16,37,0.2,,0.1,192.0,177.0,368.0,False
565,Intracranial and intraspinal abscess and granuloma (G06),,11,7,18,,,,124.0,71.0,194.0,False
566,Intracranial and intraspinal phlebitis and thrombophlebitis (G08),,2,2,4,,,,,,,False
567,Sequelae of inflammatory diseases of central nervous system (G09),,4,3,7,,,,,,,False
569,Huntington disease (G10),,43,39,82,0.3,0.3,0.3,751.0,471.0,1218.0,False
570,Hereditary ataxia (G11),,21,14,35,0.2,,0.1,436.0,204.0,640.0,False
571,Spinal muscular atrophy and related syndromes (G12),,396,305,701,2.9,2.0,2.4,3907.0,2642.0,6532.0,False
572,Postpolio syndrome (G14),,5,4,9,,,,,,,False
574,Parkinson disease (G20),,1172,727,1899,8.6,4.0,6.0,1489.0,643.0,2114.0,False
575,Secondary parkinsonism (G21),,3,3,6,,,,,,,False
576,Other degenerative diseases of basal ganglia (G23),,163,135,298,1.2,0.8,1.0,701.0,679.0,1380.0,False
577,Dystonia (G24),,0,0,0,,,,,,,False
578,Other extrapyramidal and movement disorders (G25),,2,6,8,,,,,,,False
580,Alzheimer disease (G30),,1506,2803,4309,11.0,14.0,12.9,1227.0,1426.0,2656.0,False
581,"Other degenerative diseases of nervous system, not elsewhere classified (G31)",,305,268,573,2.2,1.5,1.8,1481.0,1052.0,2527.0,False
583,Multiple sclerosis (G35),,53,113,166,0.4,0.7,0.6,577.0,1063.0,1648.0,False
584,Other acute disseminated demyelination (G36),,1,0,1,,,,,,,False
585,Other demyelinating diseases of central nervous system (G37),,4,3,7,,,,,,100.0,False
587,Epilepsy (G40),,130,84,214,1.0,0.6,0.8,3790.0,1948.0,5747.0,False
588,Status epilepticus (G41),,11,20,31,,0.1,0.1,41.0,220.0,258.0,False
589,Migraine (G43),,1,0,1,,,,,,,False
590,Other headache syndromes (G44),,0,0,0,,,,,,,False
591,Transient cerebral ischaemic attacks and related syndromes (G45),,15,23,38,,0.1,0.1,,,,False
592,Sleep disorders (G47),,26,23,49,0.2,0.1,0.2,282.0,200.0,478.0,False
594,Disorders of trigeminal nerve (G50),,1,0,1,,,,,,,False
595,Facial nerve disorders (G51),,0,1,1,,,,,,,False
596,Disorders of other cranial nerves (G52),,2,1,3,,,,,,,False
597,Nerve root and plexus disorders (G54),,0,1,1,,,,,,,False
598,Mononeuropathies of upper limb (G56),,0,0,0,,,,,,,False
599,Mononeuropathies of lower limb (G57),,0,0,0,,,,,,,False
600,Other mononeuropathies (G58),,3,0,3,,,,,,,False
602,Hereditary and idiopathic neuropathy (G60),,4,5,9,,,,,,,False
603,Inflammatory polyneuropathy (G61),,14,14,28,,,0.1,52.0,35.0,86.0,False
604,Other polyneuropathies (G62),,15,6,21,,,0.1,31.0,,42.0,False
605,Other disorders of peripheral nervous system (G64),,0,0,0,,,,,,,False
607,Myasthenia gravis and other myoneural disorders (G70),,23,17,40,0.2,,0.1,137.0,81.0,220.0,False
608,Primary disorders of muscles (G71),,64,39,103,0.5,0.3,0.4,1602.0,649.0,2257.0,False
609,Other myopathies (G72),,23,15,38,0.2,,0.1,152.0,95.0,249.0,False
611,Cerebral palsy (G80),,68,44,112,0.5,0.3,0.4,2568.0,1433.0,4007.0,False
612,Hemiplegia (G81),,5,5,10,,,,,,,False
613,Paraplegia and tetraplegia (G82),,42,14,56,0.3,,0.2,681.0,310.0,982.0,False
614,Other paralytic syndromes (G83),,2,6,8,,,,,,,False
616,Disorders of autonomic nervous system (G90),,6,5,11,,,,25.0,,102.0,False
617,Hydrocephalus (G91),,25,29,54,0.2,0.2,0.2,144.0,304.0,447.0,False
618,Toxic encephalopathy (G92),,0,0,0,,,,,,,False
619,Other disorders of brain (G93),,104,81,185,0.7,0.5,0.6,1218.0,1001.0,2202.0,False
620,Other diseases of spinal cord (G95),,13,7,20,,,0.1,154.0,,158.0,False
621,Other disorders of central nervous system (G96),,8,11,19,,,,,165.0,228.0,False
622,"Postprocedural disorders of nervous system, not elsewhere classified (G97)",,0,0,0,,,,,,,False
623,"Other disorders of nervous system, not elsewhere classified (G98)",,4,2,6,,,,,,,False
626,Hordeolum and chalazion (H00),,0,1,1,,,,,,,False
627,Other inflammation of eyelid (H01),,0,0,0,,,,,,,False
628,Other disorders of eyelid (H02),,0,0,0,,,,,,,False
629,Disorders of lacrimal system (H04),,0,0,0,,,,,,,False
630,Disorders of orbit (H05),,1,1,2,,,,,,,False
632,Conjunctivitis (H10),,0,0,0,,,,,,,False
633,Other disorders of conjunctiva (H11),,0,0,0,,,,,,,False
635,Disorders of sclera (H15),,0,0,0,,,,,,,False
636,Keratitis (H16),,0,1,1,,,,,,,False
637,Corneal scars and opacities (H17),,0,0,0,,,,,,,False
638,Other disorders of cornea (H18),,0,0,0,,,,,,,False
639,Iridocyclitis (H20),,0,0,0,,,,,,,False
640,Other disorders of iris and ciliary body (H21),,0,0,0,,,,,,,False
642,Senile cataract (H25),,0,0,0,,,,,,,False
643,Other cataract (H26),,0,0,0,,,,,,,False
644,Other disorders of lens (H27),,0,0,0,,,,,,,False
646,Chorioretinal inflammation (H30),,0,0,0,,,,,,,False
647,Other disorders of choroid (H31),,0,0,0,,,,,,,False
648,Retinal detachments and breaks (H33),,0,0,0,,,,,,,False
649,Retinal vascular occlusions (H34),,0,0,0,,,,,,,False
650,Other retinal disorders (H35),,0,0,0,,,,,,,False
652,Glaucoma (H40),,0,1,1,,,,,,,False
654,Disorders of vitreous body (H43),,0,0,0,,,,,,,False
655,Disorders of globe (H44),,0,1,1,,,,,,,False
657,Optic neuritis (H46),,0,0,0,,,,,,,False
658,Other disorders of optic [2nd] nerve and visual pathways (H47),,0,0,0,,,,,,,False
660,Paralytic strabismus (H49),,1,0,1,,,,,,,False
661,Other strabismus (H50),,0,0,0,,,,,,,False
662,Other disorders of binocular movement (H51),,0,0,0,,,,,,,False
663,Disorders of refraction and accommodation (H52),,0,0,0,,,,,,,False
665,Visual disturbances (H53),,0,0,0,,,,,,,False
666,Visual impairment including blindness (binocular or monocular) (H54),,0,0,0,,,,,,,False
668,Nystagmus and other irregular eye movements (H55),,0,0,0,,,,,,,False
669,Other disorders of eye and adnexa (H57),,0,1,1,,,,,,,False
670,"Postprocedural disorders of eye and adnexa, not elsewhere classified (H59)",,0,0,0,,,,,,,False
673,Otitis externa (H60),,1,3,4,,,,,,,False
674,Other disorders of external ear (H61),,0,0,0,,,,,,,False
676,Nonsuppurative otitis media (H65),,0,0,0,,,,,,,False
677,Suppurative and unspecified otitis media (H66),,2,5,7,,,,,,,False
678,Eustachian salpingitis and obstruction (H68),,0,0,0,,,,,,,False
679,Other disorders of Eustachian tube (H69),,0,0,0,,,,,,,False
680,Mastoiditis and related conditions (H70),,2,1,3,,,,,,,False
681,Cholesteatoma of middle ear (H71),,0,0,0,,,,,,,False
682,Perforation of tympanic membrane (H72),,0,0,0,,,,,,,False
683,Other disorders of tympanic membrane (H73),,0,0,0,,,,,,,False
684,Other disorders of middle ear and mastoid (H74),,0,0,0,,,,,,,False
686,Otosclerosis (H80),,0,0,0,,,,,,,False
687,Disorders of vestibular function (H81),,0,1,1,,,,,,,False
688,Other diseases of inner ear (H83),,0,0,0,,,,,,,False
690,Conductive and sensorineural hearing loss (H90),,0,0,0,,,,,,,False
691,Other hearing loss (H91),,2,1,3,,,,,,,False
692,Otalgia and effusion of ear (H92),,0,0,0,,,,,,,False
693,"Other disorders of ear, not elsewhere classified (H93)",,0,0,0,,,,,,,False
694,"Postprocedural disorders of ear and mastoid process, not elsewhere classified (H95)",,0,0,0,,,,,,,False
697,Rheumatic fever without mention of heart involvement (I00),x,2,6,8,,,,,,,False
698,Rheumatic fever with heart involvement (I01),x,0,1,1,,,,,,,False
699,Rheumatic chorea (I02),x,0,0,0,,,,,,,False
701,Rheumatic mitral valve diseases (I05),x,45,90,135,0.3,0.5,0.4,323.0,496.0,820.0,False
702,Rheumatic aortic valve diseases (I06),x,5,5,10,,,,,,,False
703,Rheumatic tricuspid valve diseases (I07),x,12,40,52,,0.2,0.2,,,57.0,False
704,Multiple valve diseases (I08),x,47,65,112,0.3,0.4,0.4,254.0,87.0,339.0,False
705,Other rheumatic heart diseases (I09),x,20,43,63,0.2,0.3,0.2,420.0,475.0,900.0,False
707,Essential (primary) hypertension (I10),x,201,391,592,1.5,2.0,1.8,604.0,284.0,883.0,False
708,Hypertensive heart disease (I11),x,342,570,912,2.5,2.9,2.8,1847.0,771.0,2598.0,False
709,Hypertensive renal disease (I12),x,155,200,355,1.1,1.0,1.1,392.0,126.0,513.0,False
710,Hypertensive heart and renal disease (I13),x,102,175,277,0.7,0.9,0.8,93.0,123.0,217.0,False
711,Secondary hypertension (I15),,0,0,0,,,,,,,False
713,Angina pectoris (I20),x,5,14,19,,,,,,,False
714,Acute myocardial infarction (I21),x,4016,3306,7322,29.2,17.1,22.7,18708.0,5558.0,24032.0,False
715,Subsequent myocardial infarction (I22),x,0,0,0,,,,,,,False
716,Certain current complications following acute myocardial infarction (I23),x,0,0,0,,,,,,,False
717,Other acute ischaemic heart diseases (I24),x,167,176,343,1.2,0.9,1.1,469.0,142.0,604.0,False
718,Chronic ischaemic heart disease (I25),x,6081,3768,9849,44.0,19.6,30.8,35948.0,8385.0,43838.0,False
720,Pulmonary embolism (I26),x,164,150,314,1.2,0.9,1.0,1366.0,1212.0,2570.0,False
721,Other pulmonary heart diseases (I27),,151,279,430,1.1,1.6,1.4,876.0,1273.0,2149.0,False
722,Other diseases of pulmonary vessels (I28),,0,2,2,,,,,,,False
724,Acute pericarditis (I30),,5,5,10,,,,,,,False
725,Other diseases of pericardium (I31),,42,43,85,0.3,0.3,0.3,345.0,212.0,554.0,False
726,Acute and subacute endocarditis (I33),x,122,68,190,0.9,0.4,0.7,1549.0,680.0,2215.0,False
727,Nonrheumatic mitral valve disorders (I34),x,63,136,199,0.5,0.7,0.6,200.0,325.0,526.0,False
728,Nonrheumatic aortic valve disorders (I35),x,538,541,1079,3.9,2.7,3.2,1225.0,427.0,1636.0,False
729,Nonrheumatic tricuspid valve disorders (I36),x,0,4,4,,,,,,,False
730,Pulmonary valve disorders (I37),x,0,1,1,,,,,,,False
731,"Endocarditis, valve unspecified (I38)",,123,141,264,0.9,0.7,0.8,609.0,255.0,858.0,False
732,Acute myocarditis (I40),,11,5,16,,,,305.0,,510.0,False
733,Cardiomyopathy (I42),,670,372,1042,4.9,2.2,3.5,7160.0,2443.0,9550.0,False
734,Atrioventricular and left bundle-branch block (I44),,34,29,63,0.2,0.1,0.2,34.0,,39.0,False
735,Other conduction disorders (I45),,34,30,64,0.3,0.2,0.2,166.0,187.0,356.0,False
736,Cardiac arrest (I46),,81,108,189,0.6,0.5,0.6,592.0,144.0,738.0,False
737,Paroxysmal tachycardia (I47),,10,17,27,,,0.1,70.0,73.0,141.0,False
738,Atrial fibrillation and flutter (I48),,838,1397,2235,6.1,6.9,6.6,875.0,520.0,1388.0,False
739,Other cardiac arrhythmias (I49),,69,111,180,0.5,0.6,0.6,646.0,695.0,1341.0,False
740,Heart failure (I50),x,1169,1567,2736,8.5,7.7,8.1,1409.0,877.0,2278.0,False
741,Complications and ill-defined descriptions of heart disease (I51),x,228,228,456,1.7,1.3,1.5,1918.0,1446.0,3343.0,False
743,Subarachnoid haemorrhage (I60),x,203,346,549,1.5,2.2,1.9,3228.0,3650.0,6900.0,False
744,Intracerebral haemorrhage (I61),x,608,740,1348,4.4,4.2,4.3,3630.0,1901.0,5503.0,False
745,Other nontraumatic intracranial haemorrhage (I62),x,462,485,947,3.4,2.7,3.0,2054.0,1628.0,3671.0,False
746,Cerebral infarction (I63),x,590,778,1368,4.3,4.1,4.2,2264.0,1260.0,3507.0,False
747,"Stroke, not specified as haemorrhage or infarction (I64)",x,1617,2591,4208,11.8,12.7,12.5,2758.0,1465.0,4203.0,False
748,"Occlusion and stenosis of precerebral arteries, not resulting in cerebral infarction (I65)",x,0,0,0,,,,,,,False
749,"Occlusion and stenosis of cerebral arteries, not resulting in cerebral infarction (I66)",x,0,0,0,,,,,,,False
750,Other cerebrovascular diseases (I67),x,259,402,661,1.9,2.0,2.0,712.0,761.0,1468.0,False
751,Sequelae of cerebrovascular disease (I69),x,425,466,891,3.1,2.4,2.7,755.0,641.0,1389.0,False
753,Atherosclerosis (I70),,33,59,92,0.2,0.3,0.3,72.0,,89.0,False
754,Aortic aneurysm and dissection (I71),,595,393,988,4.3,2.2,3.2,3391.0,1049.0,4401.0,False
755,Other aneurysm and dissection (I72),,42,26,68,0.3,0.2,0.2,348.0,362.0,711.0,False
756,Other peripheral vascular diseases (I73),,321,329,650,2.3,1.7,2.0,765.0,323.0,1077.0,False
757,Arterial embolism and thrombosis (I74),,22,25,47,0.2,0.1,0.2,237.0,155.0,391.0,False
758,Other disorders of arteries and arterioles (I77),,49,37,86,0.4,0.2,0.3,349.0,303.0,652.0,False
759,Diseases of capillaries (I78),,3,3,6,,,,,,,False
761,Phlebitis and thrombophlebitis (I80),,81,108,189,0.6,0.7,0.7,1421.0,1181.0,2600.0,False
762,Portal vein thrombosis (I81),,11,8,19,,,,65.0,,111.0,False
763,Other venous embolism and thrombosis (I82),,9,11,20,,,0.1,,,124.0,False
764,Varicose veins of lower extremities (I83),,2,17,19,,,,,23.0,24.0,False
765,Haemorrhoids (I84),,0,0,0,,,,,,,False
766,Oesophageal varices (I85),,5,5,10,,,,137.0,,164.0,False
767,Varicose veins of other sites (I86),,1,2,3,,,,,,,False
768,Other disorders of veins (I87),,4,2,6,,,,,,,False
769,Nonspecific lymphadenitis (I88),,0,1,1,,,,,,,False
770,Other noninfective disorders of lymphatic vessels and lymph nodes (I89),,2,12,14,,,,,80.0,81.0,False
772,Hypotension (I95),,2,1,3,,,,,,,False
773,"Postprocedural disorders of circulatory system, not elsewhere classified (I97)",,0,0,0,,,,,,,False
774,Other and unspecified disorders of circulatory system (I99),,9,11,20,,,0.1,,,,False
777,Acute nasopharyngitis [common cold] (J00),,0,0,0,,,,,,,False
778,Acute sinusitis (J01),,0,0,0,,,,,,,False
779,Acute pharyngitis (J02),x,0,1,1,,,,,,,False
780,Acute tonsillitis (J03),,0,0,0,,,,,,,False
781,Acute laryngitis and tracheitis (J04),,1,1,2,,,,,,,False
782,Acute obstructive laryngitis [croup] and epiglottitis (J05),,3,0,3,,,,,,,False
783,Acute upper respiratory infections of multiple and unspecified sites (J06),,5,4,9,,,,,,,False
785,Influenza due to certain identified influenza virus (J09),,4,3,7,,,,,,186.0,False
786,Influenza due to other identified influenza virus (J10),x,46,60,106,0.3,0.3,0.3,367.0,525.0,881.0,False
787,"Influenza, virus not identified (J11)",x,12,16,28,,,0.1,44.0,,69.0,False
788,"Viral pneumonia, not elsewhere classified (J12)",x,21,28,49,0.2,0.2,0.2,123.0,282.0,402.0,False
789,Pneumonia due to Streptococcus pneumoniae (J13),x,7,2,9,,,,,,144.0,False
790,Pneumonia due to Haemophilus influenzae (J14),x,2,0,2,,,,,,,False
791,"Bacterial pneumonia, not elsewhere classified (J15)",x,30,24,54,0.2,0.1,0.2,333.0,230.0,560.0,False
792,"Pneumonia due to other infectious organisms, not elsewhere classified (J16)",x,0,0,0,,,,,,,False
793,"Pneumonia, organism unspecified (J18)",x,1304,1543,2847,9.5,7.6,8.4,3249.0,2124.0,5368.0,False
795,Acute bronchitis (J20),,2,10,12,,,,,,,False
796,Acute bronchiolitis (J21),,1,2,3,,,,,,,False
797,Unspecified acute lower respiratory infection (J22),,142,211,353,1.0,1.0,1.0,328.0,210.0,539.0,False
799,Vasomotor and allergic rhinitis (J30),,0,0,0,,,,,,,False
800,"Chronic rhinitis, nasopharyngitis and pharyngitis (J31)",,0,0,0,,,,,,,False
801,Chronic sinusitis (J32),,5,2,7,,,,,,,False
802,Nasal polyp (J33),,1,0,1,,,,,,,False
803,Other disorders of nose and nasal sinuses (J34),,0,0,0,,,,,,,False
804,Chronic diseases of tonsils and adenoids (J35),,2,0,2,,,,,,,False
805,Peritonsillar abscess (J36),,0,0,0,,,,,,,False
806,Chronic laryngitis and laryngotracheitis (J37),,0,0,0,,,,,,,False
807,"Diseases of vocal cords and larynx, not elsewhere classified (J38)",,5,6,11,,,,,,,False
