cause,avoidable,men,women,people,Males,Females,Persons,Males,Females,Persons
Benign neoplasm of other and unspecified sites (D36),,0,1,1,—,np,np,—,—,—
Neoplasms of uncertain or unknown behaviour (D37-D48),,610,474,"1,084",4.4,2.6,3.4,"2,379","1,432","3,793"
Neoplasm of uncertain or unknown behaviour of oral cavity and digestive organs (D37),,40,37,77,0.3,0.2,0.2,193,131,322
Neoplasm of uncertain or unknown behaviour of middle ear and respiratory and intrathoracic organs (D38),,11,7,18,np,np,np,np,np,71
Neoplasm of uncertain or unknown behaviour of female genital organs (D39),,0,8,8,—,np,np,—,np,np
Neoplasm of uncertain or unknown behaviour of male genital organs (D40),,0,0,0,—,—,—,—,—,—
Neoplasm of uncertain or unknown behaviour of urinary organs (D41),,10,7,17,np,np,np,np,—,np
Neoplasm of uncertain or unknown behaviour of meninges (D42),,1,4,5,np,np,np,—,np,np
Neoplasm of uncertain or unknown behaviour of brain and central nervous system (D43),,67,62,129,0.5,0.4,0.4,385,301,684
Neoplasm of uncertain or unknown behaviour of endocrine glands (D44),,12,7,19,np,np,np,280,28,306
Polycythaemia vera (D45),,9,22,31,np,0.1,0.1,np,21,27
Myelodysplastic syndromes (D46),,314,182,496,2.3,1.0,1.5,792,296,1082
"Other neoplasms of uncertain or unknown behaviour of lymphoid, haematopoietic and related tissue (D47)",,130,110,240,0.9,0.6,0.8,471,314,782
Neoplasm of uncertain or unknown behaviour of other and unspecified sites (D48),,16,28,44,np,0.2,0.1,188,255,440
CHAPTER III Diseases of the blood and blood-forming organs and certain disorders involving the immune mechanism (D50-D89),,225,270,495,1.6,1.6,1.6,"1,554","2,003","3,546"
Nutritional anaemias (D50-D53),,12,20,32,np,0.1,0.1,np,—,np
Iron deficiency anaemia (D50),,10,16,26,np,np,0.1,np,—,np
Vitamin B12 deficiency anaemia (D51),,0,2,2,—,np,np,—,—,—
Folate deficiency anaemia (D52),,2,2,4,np,np,np,—,—,—
Other nutritional anaemias (D53),,0,0,0,—,—,—,—,—,—
Haemolytic anaemias (D55-D59),,5,17,22,np,np,0.1,np,193,224
Anaemia due to enzyme disorders (D55),,0,1,1,—,np,np,—,np,np
Thalassaemia (D56),,2,0,2,np,—,np,np,—,np
Sickle-cell disorders (D57),,0,1,1,—,np,np,—,np,np
Other hereditary haemolytic anaemias (D58),,1,2,3,np,np,np,np,—,np
Acquired haemolytic anaemia (D59),,2,13,15,np,np,np,np,126,130
Aplastic and other anaemias (D60-D64),,85,91,176,0.6,0.5,0.5,308,133,442
Acquired pure red cell aplasia [erythroblastopenia] (D60),,0,1,1,—,np,np,—,np,np
Other aplastic anaemias (D61),,32,26,58,0.2,0.1,0.2,218,67,286
Acute posthaemorrhagic anaemia (D62),,0,0,0,—,—,—,—,—,—
Other anaemias (D64),,53,64,117,0.4,0.3,0.3,90,52,141
"Coagulation defects, purpura and other haemorrhagic conditions (D65-D69)",,40,41,81,0.3,0.2,0.3,277,231,506
Disseminated intravascular coagulation [defibrination syndrome] (D65),,5,7,12,np,np,np,np,48,98
Hereditary factor VIII deficiency (D66),,5,0,5,np,—,np,np,—,np
Hereditary factor IX deficiency (D67),,0,0,0,—,—,—,—,—,—
Other coagulation defects (D68),,13,18,31,np,np,0.1,76,143,219
Purpura and other haemorrhagic conditions (D69),,17,16,33,np,np,0.1,98,np,137
Other diseases of blood and blood-forming organs (D70-D77),,39,44,83,0.3,0.3,0.3,454,857,1301
Agranulocytosis (D70),,14,13,27,np,np,0.1,64,88,151
Functional disorders of polymorphonuclear neutrophils (D71),,1,0,1,np,—,np,np,—,np
Other disorders of white blood cells (D72),,2,2,4,np,np,np,np,np,np
Diseases of spleen (D73),,3,9,12,np,np,np,np,np,107
Methaemoglobinaemia (D74),,0,0,0,—,—,—,—,—,—
Other diseases of blood and blood-forming organs (D75),,2,6,8,np,np,np,np,np,np
Other specified diseases with participation of lymphoreticular tissue and reticulohistiocytic tissue (D76),,17,14,31,np,np,0.1,258,622,867
Certain disorders involving the immune mechanism (D80-D89),,44,57,101,0.3,0.4,0.3,484,590,"1,073"
Immunodeficiency with predominantly antibody defects (D80),,4,5,9,np,np,np,np,np,67
Combined immunodeficiencies (D81),,0,0,0,—,—,—,—,—,—
Immunodeficiency associated with other major defects (D82),,3,1,4,np,np,np,np,—,np
Common variable immunodeficiency (D83),,2,2,4,np,np,np,np,np,np
Other immunodeficiencies (D84),,10,14,24,np,np,0.1,np,286,349
Sarcoidosis (D86),,17,28,45,np,0.2,0.2,206,199,405
"Other disorders involving the immune mechanism, not elsewhere classified (D89)",,8,7,15,np,np,np,131,np,148
"CHAPTER IV Endocrine, nutritional and metabolic diseases (E00-E90)",,"3,482","3,092","6,574",25.3,17.3,21.0,"22,809","12,729","35,404"
Disorders of thyroid gland (E00-E07),,31,79,110,0.2,0.4,0.3,29,145,176
Congenital iodine-deficiency syndrome (E00),,0,0,0,—,—,—,—,—,—
Iodine-deficiency-related thyroid disorders and allied conditions (E01),,0,0,0,—,—,—,—,—,—
Subclinical iodine-deficiency hypothyroidism (E02),,0,0,0,—,—,—,—,—,—
Other hypothyroidism (E03),,15,53,68,np,0.3,0.2,np,44,54
Other nontoxic goitre (E04),,1,6,7,np,np,np,np,np,np
Thyrotoxicosis [hyperthyroidism] (E05),,14,15,29,np,np,0.1,np,90,98
Thyroiditis (E06),,0,1,1,—,np,np,—,np,np
Other disorders of thyroid (E07),,1,4,5,np,np,np,—,—,—
Diabetes mellitus (E10-E14),x,"2,546","2,110","4,656",18.4,11.8,14.9,"13,923","7,817","21,626"
Insulin-dependent diabetes mellitus (E10),x,167,155,322,1.3,1.0,1.1,"2,224","1,696","3,911"
Non-insulin-dependent diabetes mellitus (E11),x,"1,278","1,063","2,341",9.2,5.9,7.4,"5,660","3,154","8,767"
Malnutrition-related diabetes mellitus (E12),x,0,0,0,—,—,—,—,—,—
Other specified diabetes mellitus (E13),x,0,1,1,—,np,np,—,np,np
Unspecified diabetes mellitus (E14),x,"1,101",891,"1,992",7.9,5.0,6.3,"6,039","2,931","8,911"
Other disorders of glucose regulation and pancreatic internal secretion (E15-E16),,3,10,13,np,np,np,—,18,18
Nondiabetic hypoglycaemic coma (E15),,0,0,0,—,—,—,—,—,—
Other disorders of pancreatic internal secretion (E16),,3,10,13,np,np,np,—,18,18
Disorders of other endocrine glands (E20-E35),,28,27,55,0.2,0.2,0.2,308,162,471
Hypoparathyroidism (E20),,1,0,1,np,—,np,np,—,np
Hyperparathyroidism and other disorders of parathyroid gland (E21),,4,9,13,np,np,np,—,np,np
Hyperfunction of pituitary gland (E22),,2,3,5,np,np,np,np,np,np
Hypofunction and other disorders of pituitary gland (E23),,7,4,11,np,np,np,43,np,76
Cushing syndrome (E24),,1,1,2,np,np,np,np,np,np
Adrenogenital disorders (E25),,1,0,1,np,—,np,np,—,np
Hyperaldosteronism (E26),,3,1,4,np,np,np,np,—,np
Other disorders of adrenal gland (E27),,5,8,13,np,np,np,np,79,95
Ovarian dysfunction (E28),,0,0,0,—,—,—,—,—,—
Testicular dysfunction (E29),,0,0,0,—,—,—,—,—,—
"Disorders of puberty, not elsewhere classified (E30)",,0,0,0,—,—,—,—,—,—
Polyglandular dysfunction (E31),,1,0,1,np,—,np,np,—,np
Diseases of thymus (E32),,0,0,0,—,—,—,—,—,—
Other endocrine disorders (E34),,3,1,4,np,np,np,np,—,np
Malnutrition (E40-E46),,41,60,101,0.3,0.3,0.3,159,217,379
Kwashiorkor (E40),,0,0,0,—,—,—,—,—,—
Nutritional marasmus (E41),,1,3,4,np,np,np,—,np,np
Marasmic kwashiorkor (E42),,0,0,0,—,—,—,—,—,—
Unspecified severe protein-energy malnutrition (E43),,8,4,12,np,np,np,np,np,np
Protein-energy malnutrition of moderate and mild degree (E44),,0,0,0,—,—,—,—,—,—
Retarded development following protein-energy malnutrition (E45),,0,0,0,—,—,—,—,—,—
Unspecified protein-energy malnutrition (E46),,32,53,85,0.2,0.3,0.3,136,209,347
Other nutritional deficiencies (E50-E64),,8,4,12,np,np,np,17,—,16
Vitamin A deficiency (E50),,0,0,0,—,—,—,—,—,—
Thiamine deficiency (E51),,3,0,3,np,—,np,np,—,np
Niacin deficiency [pellagra] (E52),,0,0,0,—,—,—,—,—,—
Deficiency of other B group vitamins (E53),,1,2,3,np,np,np,np,—,np
Ascorbic acid deficiency (E54),,0,0,0,—,—,—,—,—,—
Vitamin D deficiency (E55),,0,0,0,—,—,—,—,—,—
Other vitamin deficiencies (E56),,0,0,0,—,—,—,—,—,—
Dietary calcium deficiency (E58),,0,0,0,—,—,—,—,—,—
Dietary selenium deficiency (E59),,0,0,0,—,—,—,—,—,—
Dietary zinc deficiency (E60),,0,0,0,—,—,—,—,—,—
Deficiency of other nutrient elements (E61),,1,1,2,np,np,np,—,—,—
Other nutritional deficiencies (E63),,3,1,4,np,np,np,np,—,np
Sequelae of malnutrition and other nutritional deficiencies (E64),,0,0,0,—,—,—,—,—,—
Obesity and other hyperalimentation (E65-E68),,173,129,302,1.3,0.9,1.1,"3,807","1,964","5,748"
Localized adiposity (E65),,0,0,0,—,—,—,—,—,—
Obesity (E66),,173,129,302,1.3,0.9,1.1,"3,807","1,964","5,748"
Other hyperalimentation (E67),,0,0,0,—,—,—,—,—,—
Sequelae of hyperalimentation (E68),,0,0,0,—,—,—,—,—,—
Metabolic disorders (E70-E90),,652,673,"1,325",4.8,3.6,4.2,"4,567","2,406","6,969"
Disorders of aromatic amino-acid metabolism (E70),,0,0,0,—,—,—,—,—,—
Disorders of branched-chain amino-acid metabolism and fatty-acid metabolism (E71),,2,0,2,np,—,np,np,—,np
Other disorders of amino-acid metabolism (E72),,6,2,8,np,np,np,np,np,np
Lactose intolerance (E73),,0,0,0,—,—,—,—,—,—
Other disorders of carbohydrate metabolism (E74),,2,1,3,np,np,np,np,—,np
Disorders of sphingolipid metabolism and other lipid storage disorders (E75),,13,3,16,np,np,np,786,np,997
Disorders of glycosaminoglycan metabolism (E76),,2,0,2,np,—,np,np,—,np
Disorders of glycoprotein metabolism (E77),,1,2,3,np,np,np,—,—,—
Disorders of lipoprotein metabolism and other lipidaemias (E78),,283,296,579,2.0,1.5,1.8,"1,033",388,"1,407"
Disorders of purine and pyrimidine metabolism (E79),,1,0,1,np,—,np,—,—,—
Disorders of porphyrin and bilirubin metabolism (E80),,0,0,0,—,—,—,—,—,—
Disorders of mineral metabolism (E83),,28,24,52,0.2,0.1,0.2,247,172,417
Cystic fibrosis (E84),,24,16,40,0.2,np,0.2,971,672,1642
Amyloidosis (E85),,122,90,212,0.9,0.5,0.7,472,266,735
Volume depletion (E86),,43,80,123,0.3,0.4,0.4,27,37,64
"Other disorders of fluid, electrolyte and acid-base balance (E87)",,96,116,212,0.7,0.6,0.7,375,376,751
Other metabolic disorders (E88),,29,43,72,0.2,0.2,0.2,372,250,623
"Postprocedural endocrine and metabolic disorders, not elsewhere classified (E89)",,0,0,0,—,—,—,—,—,—
CHAPTER V Mental and behavioural disorders (F00-F99),,"3,761","6,393","10,154",27.5,31.3,30.0,"6,203","3,738","9,891"
"Organic, including symptomatic, mental disorders (F00-F09)",,"3,503","6,197","9,700",25.6,30.1,28.5,"2,259","1,795","4,045"
Vascular dementia (F01),,637,735,"1,372",4.7,3.6,4.1,438,172,603
Unspecified dementia (F03),,"2,847","5,435","8,282",20.8,26.4,24.3,"1,801","1,623","3,421"
"Organic amnesic syndrome, not induced by alcohol and other psychoactive substances (F04)",,0,0,0,—,—,—,—,—,—
"Delirium, not induced by alcohol and other psychoactive substances (F05)",,17,26,43,np,0.1,0.1,np,—,np
Other mental disorders due to brain damage and dysfunction and to physical disease (F06),,2,1,3,np,np,np,np,—,np
"Personality and behavioural disorders due to brain disease, damage and dysfunction (F07)",,0,0,0,—,—,—,—,—,—
Unspecified organic or symptomatic mental disorder (F09),,0,0,0,—,—,—,—,—,—
Mental and behavioural disorders due to psychoactive substance use (F10-F19),,203,61,264,1.5,0.4,1.0,"3,201","1,243","4,404"
Mental and behavioural disorders due to use of alcohol (F10),,186,52,238,1.4,0.4,0.8,"2,732",907,"3,603"
Mental and behavioural disorders due to use of opioids (F11),,3,3,6,np,np,np,np,np,150
Mental and behavioural disorders due to use of cannabinoids (F12),,0,0,0,—,—,—,—,—,—
Mental and behavioural disorders due to use of sedatives or hypnotics (F13),,0,0,0,—,—,—,—,—,—
Mental and behavioural disorders due to use of cocaine (F14),,0,1,1,—,np,np,—,np,np
"Mental and behavioural disorders due to use of other stimulants, including caffeine (F15)",,2,1,3,np,np,np,np,np,np
Mental and behavioural disorders due to use of hallucinogens (F16),,0,0,0,—,—,—,—,—,—
Mental and behavioural disorders due to use of tobacco (F17),,3,0,3,np,—,np,np,—,np
Mental and behavioural disorders due to use of volatile solvents (F18),,0,0,0,—,—,—,—,—,—
Mental and behavioural disorders due to multiple drug use and use of other psychoactive substances (F19),,9,4,13,np,np,np,313,np,473
"Schizophrenia, schizotypal and delusional disorders (F20-F29)",,27,35,62,0.2,0.2,0.2,478,149,624
Schizophrenia (F20),,26,31,57,0.2,0.2,0.2,478,95,569
Schizotypal disorder (F21),,0,0,0,—,—,—,—,—,—
Persistent delusional disorders (F22),,0,0,0,—,—,—,—,—,—
Acute and transient psychotic disorders (F23),,0,0,0,—,—,—,—,—,—
Induced delusional disorder (F24),,0,0,0,—,—,—,—,—,—
Schizoaffective disorders (F25),,1,4,5,np,np,np,—,np,np
Other nonorganic psychotic disorders (F28),,0,0,0,—,—,—,—,—,—
Unspecified nonorganic psychosis (F29),,0,0,0,—,—,—,—,—,—
Mood [affective] disorders (F30-F39),,17,68,85,np,0.3,0.3,33,101,135
Manic episode (F30),,0,0,0,—,—,—,—,—,—
Bipolar affective disorder (F31),,4,9,13,np,np,np,np,np,np
Depressive episode (F32),,12,58,70,np,0.3,0.2,np,90,108
Recurrent depressive disorder (F33),,0,0,0,—,—,—,—,—,—
Persistent mood [affective] disorders (F34),,1,0,1,np,—,np,np,—,np
Other mood [affective] disorders (F38),,0,0,0,—,—,—,—,—,—
Unspecified mood [affective] disorder (F39),,0,1,1,—,np,np,—,—,—
"Neurotic, stress-related and somatoform disorders (F40-F48)",,2,11,13,np,np,np,—,np,np
Phobic anxiety disorders (F40),,0,0,0,—,—,—,—,—,—
Other anxiety disorders (F41),,0,9,9,—,np,np,—,np,np
Obsessive-compulsive disorder (F42),,0,0,0,—,—,—,—,—,—
"Reaction to severe stress, and adjustment disorders (F43)",,2,2,4,np,np,np,—,np,np
Dissociative [conversion] disorders (F44),,0,0,0,—,—,—,—,—,—
Somatoform disorders (F45),,0,0,0,—,—,—,—,—,—
Other neurotic disorders (F48),,0,0,0,—,—,—,—,—,—
Behavioural syndromes associated with physiological disturbances and physical factors (F50-F59),,1,7,8,np,np,np,np,122,172
Eating disorders (F50),,0,7,7,—,np,np,—,122,124
Nonorganic sleep disorders (F51),,0,0,0,—,—,—,—,—,—
"Sexual dysfunction, not caused by organic disorder or disease (F52)",,0,0,0,—,—,—,—,—,—
"Mental and behavioural disorders associated with the puerperium, not elsewhere classified (F53)",,0,0,0,—,—,—,—,—,—
Psychological and behavioural factors associated with disorders or diseases classified elsewhere (F54),,0,0,0,—,—,—,—,—,—
Abuse of non-dependence-producing substances (F55),,1,0,1,np,—,np,np,—,np
Unspecified behavioural syndromes associated with physiological disturbances and physical factors (F59),,0,0,0,—,—,—,—,—,—
Disorders of adult personality and behaviour (F60-F69),,0,1,1,—,np,np,—,—,—
Specific personality disorders (F60),,0,1,1,—,np,np,—,—,—
Mixed and other personality disorders (F61),,0,0,0,—,—,—,—,—,—
"Enduring personality changes, not attributable to brain damage and disease (F62)",,0,0,0,—,—,—,—,—,—
Habit and impulse disorders (F63),,0,0,0,—,—,—,—,—,—
Gender identity disorders (F64),,0,0,0,—,—,—,—,—,—
Disorders of sexual preference (F65),,0,0,0,—,—,—,—,—,—
Psychological and behavioural disorders associated with sexual development and orientation (F66),,0,0,0,—,—,—,—,—,—
Other disorders of adult personality and behaviour (F68),,0,0,0,—,—,—,—,—,—
Unspecified disorder of adult personality and behaviour (F69),,0,0,0,—,—,—,—,—,—
Mental retardation (F70-F79),,7,7,14,np,np,np,109,np,165
Mild mental retardation (F70),,0,0,0,—,—,—,—,—,—
Moderate mental retardation (F71),,0,0,0,—,—,—,—,—,—
Severe mental retardation (F72),,0,0,0,—,—,—,—,—,—
Profound mental retardation (F73),,0,0,0,—,—,—,—,—,—
Other mental retardation (F78),,0,0,0,—,—,—,—,—,—
Unspecified mental retardation (F79),,7,7,14,np,np,np,109,np,165
Disorders of psychological development (F80-F89),,1,6,7,np,np,np,np,256,331
Specific developmental disorders of speech and language (F80),,0,0,0,—,—,—,—,—,—
Specific developmental disorders of scholastic skills (F81),,0,0,0,—,—,—,—,—,—
Specific developmental disorder of motor function (F82),,0,0,0,—,—,—,—,—,—
Mixed specific developmental disorders (F83),,0,0,0,—,—,—,—,—,—
Pervasive developmental disorders (F84),,1,6,7,np,np,np,np,256,331
Other disorders of psychological development (F88),,0,0,0,—,—,—,—,—,—
Unspecified disorder of psychological development (F89),,0,0,0,—,—,—,—,—,—
Behavioural and emotional disorders with onset usually occurring in childhood and adolescence (F90-F98),,0,0,0,—,—,—,—,—,—
Hyperkinetic disorders (F90),,0,0,0,—,—,—,—,—,—
Conduct disorders (F91),,0,0,0,—,—,—,—,—,—
Mixed disorders of conduct and emotions (F92),,0,0,0,—,—,—,—,—,—
Emotional disorders with onset specific to childhood (F93),,0,0,0,—,—,—,—,—,—
Disorders of social functioning with onset specific to childhood and adolescence (F94),,0,0,0,—,—,—,—,—,—
Tic disorders (F95),,0,0,0,—,—,—,—,—,—
Other behavioural and emotional disorders with onset usually occurring in childhood and adolescence (F98),,0,0,0,—,—,—,—,—,—
Unspecified mental disorder (F99-F99),,0,0,0,—,—,—,—,—,—
"Mental disorder, not otherwise specified (F99)",,0,0,0,—,—,—,—,—,—
CHAPTER VI Diseases of the nervous system (G00-G99),,"4,334","4,911","9,245",31.8,26.7,29.2,"22,378","15,336","37,672"
Inflammatory diseases of the central nervous system (G00-G09),,51,38,89,0.4,0.3,0.3,624,478,"1,098"
"Bacterial meningitis, not elsewhere classified (G00)",x,6,8,14,np,np,np,np,162,165
Meningitis due to other and unspecified causes (G03),x,7,2,9,np,np,np,198,np,210
"Encephalitis, myelitis and encephalomyelitis (G04)",,21,16,37,0.2,np,0.1,192,177,368
Intracranial and intraspinal abscess and granuloma (G06),,11,7,18,np,np,np,124,71,194
Intracranial and intraspinal phlebitis and thrombophlebitis (G08),,2,2,4,np,np,np,np,np,np
Sequelae of inflammatory diseases of central nervous system (G09),,4,3,7,np,np,np,np,np,np
Systemic atrophies primarily affecting the central nervous system (G10-G14),,465,362,827,3.4,2.3,2.8,"5,107","3,316","8,403"
Huntington disease (G10),,43,39,82,0.3,0.3,0.3,751,471,"1,218"
Hereditary ataxia (G11),,21,14,35,0.2,np,0.1,436,204,640
Spinal muscular atrophy and related syndromes (G12),,396,305,701,2.9,2.0,2.4,"3,907","2,642","6,532"
Postpolio syndrome (G14),,5,4,9,np,np,np,np,—,np
Extrapyramidal and movement disorders (G20-G26),,"1,340",871,"2,211",9.8,4.9,7.0,"2,192",1345,"3,518"
Parkinson disease (G20),,"1,172",727,"1,899",8.6,4.0,6.0,"1,489",643,"2,114"
Secondary parkinsonism (G21),,3,3,6,np,np,np,np,np,np
Other degenerative diseases of basal ganglia (G23),,163,135,298,1.2,0.8,1.0,701,679,1380
Dystonia (G24),,0,0,0,—,—,—,—,—,—
Other extrapyramidal and movement disorders (G25),,2,6,8,np,np,np,—,np,np
Other degenerative diseases of the nervous system (G30-G32),,"1,811","3,071","4,882",13.2,15.6,14.7,"2,708","2,477","5,183"
Alzheimer disease (G30),,"1,506","2,803","4,309",11.0,14.0,12.9,"1,227","1,426","2,656"
"Other degenerative diseases of nervous system, not elsewhere classified (G31)",,305,268,573,2.2,1.5,1.8,"1,481",1052,"2,527"
Demyelinating diseases of the central nervous system (G35-G37),,58,116,174,0.4,0.7,0.6,643,"1,109","1,760"
Multiple sclerosis (G35),,53,113,166,0.4,0.7,0.6,577,"1,063","1,648"
Other acute disseminated demyelination (G36),,1,0,1,np,—,np,np,—,np
Other demyelinating diseases of central nervous system (G37),,4,3,7,np,np,np,np,np,100
Episodic and paroxysmal disorders (G40-G47),,183,150,333,1.4,1.0,1.2,"4,166","2,367","6,535"
Epilepsy (G40),,130,84,214,1.0,0.6,0.8,"3,790","1,948","5,747"
Status epilepticus (G41),,11,20,31,np,0.1,0.1,41,220,258
Migraine (G43),,1,0,1,np,—,np,np,—,np
Other headache syndromes (G44),,0,0,0,—,—,—,—,—,—
Transient cerebral ischaemic attacks and related syndromes (G45),,15,23,38,np,0.1,0.1,np,—,np
Sleep disorders (G47),,26,23,49,0.2,0.1,0.2,282,200,478
"Nerve, nerve root and plexus disorders (G50-G59)",,6,3,9,np,np,np,np,np,np
Disorders of trigeminal nerve (G50),,1,0,1,np,—,np,—,—,—
Facial nerve disorders (G51),,0,1,1,—,np,np,—,np,np
Disorders of other cranial nerves (G52),,2,1,3,np,np,np,np,—,np
Nerve root and plexus disorders (G54),,0,1,1,—,np,np,—,—,—
Mononeuropathies of upper limb (G56),,0,0,0,—,—,—,—,—,—
Mononeuropathies of lower limb (G57),,0,0,0,—,—,—,—,—,—
Other mononeuropathies (G58),,3,0,3,np,—,np,—,—,—
Polyneuropathies and other disorders of the peripheral nervous system (G60-G64),,33,25,58,0.2,0.1,0.2,87,72,159
Hereditary and idiopathic neuropathy (G60),,4,5,9,np,np,np,np,np,np
Inflammatory polyneuropathy (G61),,14,14,28,np,np,0.1,52,35,86
Other polyneuropathies (G62),,15,6,21,np,np,0.1,31,np,42
Other disorders of peripheral nervous system (G64),,0,0,0,—,—,—,—,—,—
Diseases of myoneural junction and muscle (G70-G73),,110,71,181,0.8,0.5,0.6,"1,891",825,"2,727"
Myasthenia gravis and other myoneural disorders (G70),,23,17,40,0.2,np,0.1,137,81,220
Primary disorders of muscles (G71),,64,39,103,0.5,0.3,0.4,"1,602",649,"2,257"
Other myopathies (G72),,23,15,38,0.2,np,0.1,152,95,249
Cerebral palsy and other paralytic syndromes (G80-G83),,117,69,186,0.9,0.5,0.7,"3,252","1,787","5,039"
Cerebral palsy (G80),,68,44,112,0.5,0.3,0.4,"2,568","1,433","4,007"
Hemiplegia (G81),,5,5,10,np,np,np,np,np,np
Paraplegia and tetraplegia (G82),,42,14,56,0.3,np,0.2,681,310,982
Other paralytic syndromes (G83),,2,6,8,np,np,np,—,np,np
Other disorders of the nervous system (G90-G99),,160,135,295,1.2,0.9,1.0,"1,698","1,554","3,234"
Disorders of autonomic nervous system (G90),,6,5,11,np,np,np,25,np,102
Hydrocephalus (G91),,25,29,54,0.2,0.2,0.2,144,304,447
Toxic encephalopathy (G92),,0,0,0,—,—,—,—,—,—
Other disorders of brain (G93),,104,81,185,0.7,0.5,0.6,"1,218","1,001","2,202"
Other diseases of spinal cord (G95),,13,7,20,np,np,0.1,154,np,158
Other disorders of central nervous system (G96),,8,11,19,np,np,np,np,165,228
"Postprocedural disorders of nervous system, not elsewhere classified (G97)",,0,0,0,—,—,—,—,—,—
"Other disorders of nervous system, not elsewhere classified (G98)",,4,2,6,np,np,np,np,—,np
CHAPTER VII Diseases of the eye and adnexa (H00-H59),,2,6,8,np,np,np,np,—,np
"Disorders of eyelid, lacrimal system and orbit (H00-H06)",,1,2,3,np,np,np,—,—,—
Hordeolum and chalazion (H00),,0,1,1,—,np,np,—,—,—
Other inflammation of eyelid (H01),,0,0,0,—,—,—,—,—,—
Other disorders of eyelid (H02),,0,0,0,—,—,—,—,—,—
Disorders of lacrimal system (H04),,0,0,0,—,—,—,—,—,—
Disorders of orbit (H05),,1,1,2,np,np,np,—,—,—
Disorders of conjunctiva (H10-H13),,0,0,0,—,—,—,—,—,—
Conjunctivitis (H10),,0,0,0,—,—,—,—,—,—
Other disorders of conjunctiva (H11),,0,0,0,—,—,—,—,—,—
"Disorders of sclera, cornea, iris and ciliary body (H15-H22)",,0,1,1,—,np,np,—,—,—
Disorders of sclera (H15),,0,0,0,—,—,—,—,—,—
Keratitis (H16),,0,1,1,—,np,np,—,—,—
Corneal scars and opacities (H17),,0,0,0,—,—,—,—,—,—
Other disorders of cornea (H18),,0,0,0,—,—,—,—,—,—
Iridocyclitis (H20),,0,0,0,—,—,—,—,—,—
Other disorders of iris and ciliary body (H21),,0,0,0,—,—,—,—,—,—
Disorders of lens (H25-H28),,0,0,0,—,—,—,—,—,—
Senile cataract (H25),,0,0,0,—,—,—,—,—,—
Other cataract (H26),,0,0,0,—,—,—,—,—,—
Other disorders of lens (H27),,0,0,0,—,—,—,—,—,—
Disorders of choroid and retina (H30-H36),,0,0,0,—,—,—,—,—,—
Chorioretinal inflammation (H30),,0,0,0,—,—,—,—,—,—
Other disorders of choroid (H31),,0,0,0,—,—,—,—,—,—
Retinal detachments and breaks (H33),,0,0,0,—,—,—,—,—,—
Retinal vascular occlusions (H34),,0,0,0,—,—,—,—,—,—
Other retinal disorders (H35),,0,0,0,—,—,—,—,—,—
Glaucoma (H40-H42),,0,1,1,—,np,np,—,—,—
Glaucoma (H40),,0,1,1,—,np,np,—,—,—
Disorders of vitreous body and globe (H43-H45),,0,1,1,—,np,np,—,—,—
Disorders of vitreous body (H43),,0,0,0,—,—,—,—,—,—
Disorders of globe (H44),,0,1,1,—,np,np,—,—,—
Disorders of optic nerve and visual pathways (H46-H48),,0,0,0,—,—,—,—,—,—
Optic neuritis (H46),,0,0,0,—,—,—,—,—,—
Other disorders of optic [2nd] nerve and visual pathways (H47),,0,0,0,—,—,—,—,—,—
"Disorders of ocular muscles, binocular movement, accommodation and refraction (H49-H52)",,1,0,1,np,—,np,np,—,np
Paralytic strabismus (H49),,1,0,1,np,—,np,np,—,np
Other strabismus (H50),,0,0,0,—,—,—,—,—,—
Other disorders of binocular movement (H51),,0,0,0,—,—,—,—,—,—
Disorders of refraction and accommodation (H52),,0,0,0,—,—,—,—,—,—
Visual disturbances and blindness (H53-H54),,0,0,0,—,—,—,—,—,—
Visual disturbances (H53),,0,0,0,—,—,—,—,—,—
Visual impairment including blindness (binocular or monocular) (H54),,0,0,0,—,—,—,—,—,—
Other disorders of eye and adnexa (H55-H59),,0,1,1,—,np,np,—,—,—
Nystagmus and other irregular eye movements (H55),,0,0,0,—,—,—,—,—,—
Other disorders of eye and adnexa (H57),,0,1,1,—,np,np,—,—,—
"Postprocedural disorders of eye and adnexa, not elsewhere classified (H59)",,0,0,0,—,—,—,—,—,—
CHAPTER VIII Diseases of the ear and mastoid process (H60-H95),,7,11,18,np,np,np,np,np,96
Diseases of external ear (H60-H62),,1,3,4,np,np,np,np,np,np
Otitis externa (H60),,1,3,4,np,np,np,np,np,np
Other disorders of external ear (H61),,0,0,0,—,—,—,—,—,—
Diseases of middle ear and mastoid (H65-H75),,4,6,10,np,np,np,np,np,np
Nonsuppurative otitis media (H65),,0,0,0,—,—,—,—,—,—
Suppurative and unspecified otitis media (H66),,2,5,7,np,np,np,—,np,np
Eustachian salpingitis and obstruction (H68),,0,0,0,—,—,—,—,—,—
Other disorders of Eustachian tube (H69),,0,0,0,—,—,—,—,—,—
Mastoiditis and related conditions (H70),,2,1,3,np,np,np,np,np,np
Cholesteatoma of middle ear (H71),,0,0,0,—,—,—,—,—,—
Perforation of tympanic membrane (H72),,0,0,0,—,—,—,—,—,—
Other disorders of tympanic membrane (H73),,0,0,0,—,—,—,—,—,—
Other disorders of middle ear and mastoid (H74),,0,0,0,—,—,—,—,—,—
Diseases of inner ear (H80-H83),,0,1,1,—,np,np,—,—,—
Otosclerosis (H80),,0,0,0,—,—,—,—,—,—
